class,text
Neg,"@SouthwestAir y airline I fly with, but haven't seen anything like this yet!"
Pos,@SouthwestAir that's awesome! Love flying SWA!
Pos,@SouthwestAir That guy was the flight attendant on my last flight… he was hilarious! ☺
Pos,@SouthwestAir thanks for the info and the quick response!
Pos,@SouthwestAir shhhh i don't want something else to steal our deal😉
Neg,@SouthwestAir Cancelled Flighting flights 45 minutes before takeoff &amp; sitting for 45 min on the runway of the rescheduled flight #badservice
Neutral,@SouthwestAir how do I go on the scavenger hunt if I'm in Boston?
Neutral,@SouthwestAir Hi there. We’re flying SWA today. Our son has a peanut allergy. Any way to request the crew not serve peanuts on flight? Thx
Pos,=@SouthwestAir Deborah helped me💁
Pos,=@SouthwestAir give this guy a raise....great start to flight from AZ to MKE..
Neg,@SouthwestAir - 800 is not int'l friendly
Neutral,"@SouthwestAir ha, ha not a make or break for me either way!"
Neg,@SouthwestAir 4-4 in horrible customer service. Empty seats in early flight wantcharge me double to get home early instead the usual Late Flight
Neg,=@SouthwestAir can you answer the phone So I can change my flight plans. Srsly.
Neg,@SouthwestAir you could be a little more accommodating with extending my flight credit.Whats 10 extra days!#notahappytraveler
Neutral,=@SouthwestAir I would.
Neg,"@SouthwestAir if you are going to be inconsistent enforcing your rules, I'd prefer you not randomly take it out on freq flyers that obey"
Neutral,@SouthwestAir can you show me some luv?Its 9 degrees and all this snow but Imdetermined to go to #DestinationDragons http://t.co/oXm6cWGaB7
Neutral,=@SouthwestAir sent
Neg,@SouthwestAir what does relay concerns really mean &amp; how/why do u keep letting people on flights with bags larger than u state are allowabl?
Neutral,=@SouthwestAir What number can we use to all from outside the us? thx
Neg,@SouthwestAir how long does it take for points from RR Shopping to post to my account? Got email saying I've earned points but don't see em
Neutral,=@SouthwestAir Thanks!I know the routes you currently have from Newark. I was just wondering if there was Any new ones on the horizon
Pos,@SouthwestAir oh my gosh! Going to dm you now! Thank you!
Pos,=@SouthwestAir Thank you So much YOURE amazing Im going to CRY omg
Neg,@SouthwestAir If you could get me on the 12:15 flight! My 10:10 has been delayed until 1:05.
Neg,"@SouthwestAir couldn't make flight, funds forfeited as a no show!! Was trying to book another flight using those funds, I'm out."
Neutral,@SouthwestAir I DMed you :)
Neutral,@SouthwestAir When is the last chance to win #DestinationDragon ???
Neg,=@SouthwestAir make this delay go away. maybe upgrade me and Kats seats. we are headed to Columbus.
Neutral,@SouthwestAir  I have a flight 2/22 @930 am from Fort Lauderdale to bwi.. Can I Cancelled Flight that flight ? Flight 3458 trip I'd 314505529
Neutral,=@SouthwestAir @geekstiel do you know when the last chance is?
Neutral,=@SouthwestAir @Vindictive_tK Larry David works for southwest?
Neutral,@SouthwestAir  flying Southwest for the first time to LGA with a layover in Atlanta!
Pos,@SouthwestAir Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!
Pos,@SouthwestAir Thank You. We'll be in touch! #MoveAboutTheCountry
Neg,@SouthwestAir FJBFSC  all I need is receipt showing the 776.20 charge I have on my Amex not the 656.xx that I keep getting sent
Neg,@SouthwestAir what do I need to do when TSA pre doesn't show for a flight of mine?
Neg,@SouthwestAir  getting the run around today with customer service &amp; disconnected customer relations # given twice. Help!!!
Neg,=@SouthwestAir have been doing that for hours Already
Pos,@SouthwestAir flight from BWI to ISP ready to go! Thanks for keeping us warm! #FrigidFriday http://t.co/bfPfW6eyKU
Pos,"@SouthwestAir Love, love, love this. Southwest Rocks!! Always!! https://t.co/q8VSfFRd1u"
Neutral,@SouthwestAir Who can I contact about requesting a charity donation? #ThankYou
Pos,@SouthwestAir shout out to the flight #4386 crew for taking amazing care of us on our double down flight! #thankyou
Neutral,@SouthwestAir  what is the status on flight#122 STL-AUS?
Pos,@SouthwestAir please do. Hate having to fly a different airline. You're my fav.
Neg,"@SouthwestAir After flying Delta this week, GoGo was so good. The tweet I sent you didn't even send until we landed - that's how bad it was"
Pos,=@SouthwestAir sure thing
Neg,@SouthwestAir why did you book my hotel twice?!?! Ahhhhh
Pos,@SouthwestAir save mile to visit family in 2015 and this will impact how many times I can see my mother.  I planned and you change the rules
Pos,@SouthwestAir Jackpot!  #legroom http://t.co/ZO2iceG4lI
Neg,"@SouthwestAir you were my go to airline now not so much!! You say you care but I now see not so much! Right now, you suck!!"
Neg,=@SouthwestAir I have been loyal to southwest from the beginning but very unhappy about your devaluation.
Neutral,@SouthwestAir #DestinationDragons iD is my favorite band and i met my 2bestfriends thanks to them! it would be life changing to see them!
Pos,"@SouthwestAir i live in the southwest, Imagine Dragons is my favorite band, and i met my 2bestfriends thanks to them. it would be amazing +"
Neg,@SouthwestAir  Longer flights with 300 series no wifi? Will be great when you retire them.
Neg,"=@SouthwestAir excruciatingly Slow internet on SWA flights is now the norm, Rather than the exception. is this being addressed?"
Neutral,"=@SouthwestAir yes, Thank you. just sent DM."
Neutral,@SouthwestAir when is the last chance to get #DestinationDragons tickets? I would die of happiness if I won 😭🙏
Neg,=@SouthwestAir the in-browser hover over is intrusive and annoying. and the fact that the wifi only works on one device is sort of sad.
Neg,"@SouthwestAir the sign in screen had major mobile issues, the responsive design wasn't working properly my Nexus 5."
Neg,@SouthwestAir sure did. Also read on there that Southwest doesn't believe it is liable for the incident. How is it my fault that SW lost it?
Neg,@SouthwestAir What's up with the new in-flight WiFi service? Super crappy user experience. Miss the old provider. :(
Neg,@SouthwestAir it's too damn cold to be sitting on this runway with no heat!!!!!
Neutral,@SouthwestAir Can you please follow so I can DM? Thx!
Neutral,=@SouthwestAir sent DM
Pos,@SouthwestAir... I love you. Air travel doesn't get easier.
Pos,=@SouthwestAir received awesome phone help from Jim today. helped me switch around flights booked with points.
Neg,"@SouthwestAir Repeating this is policy is basically repeating ""Fuck you"" to your customers. I'll be shopping for a new airline ASAP"
Neg,"@SouthwestAir yeah... that's not what happened. I'm really pissed. This is the kind of thing I expect from US or Austrian, not you."
Neg,@SouthwestAir  Glad to see you know how to keep the money in your own pockets. 'Thanks' for the voucher in return for lost bag.
Neg,"@SouthwestAir you call this customer service?? Sitting in the tarmack for 1hr, lost bag, and you give me a $100. voucher???"
Neutral,@SouthwestAir I would love to go to the #DestinationDragons @ImagineDragons show tomorrow in Utah at @VelourLive! I've been trying so hard.
Neutral,@SouthwestAir i hope i can take my selfie stick on the plane today! #goingtovegas
Neg,@SouthwestAir that's bull. Once you add a fare to the cart you should be locked in. I made it all the way to PayPal.
Neutral,"=@SouthwestAir it is working on a different device, though. Any help is appreciated."
Neg,@SouthwestAir having trouble with Wifi. No matter what I get redirected back to getconnected page even though it says I'm connected.
Neg,@Southwestair is this account even aware of the #destinationdragons contest? The one youre fucking up for me?
Pos,@SouthwestAir Thank you! I can't wait either :)
Neg,@SouthwestAir What does this even mean?  I'm taking about letting elite customers who paid for a seat fill a seat that will go empty anyway.
Pos,@southwestair SWEET!!! Glad to hear it. I'll keep you guys in mind next time!
Neg,"=@SouthwestAir you do a great job of achieving that at most cities, just not at BWI."
Neg,@SouthwestAir hello. my flight is Cancelled Flightled for #destinationdragons and no one at your desk at KCI knows what the fuck is happening!!!!!!!!
Pos,@SouthwestAir your employees at BWI have been amazing!
Pos,=@SouthwestAir Thanks for responding.
Neg,@Southwestair thanks for leaving me hanging here. #destinationdragons flights all fucked up now. No help?!
Neutral,"@SouthwestAir Hi! Winter Wx Advisory issued for STL. Snow &amp; Ice &amp; Cold, oh my! Will you issue a travel advisory for that?"
Neutral,"=@SouthwestAir if a travel advisory is posted for DEN, can I then make changes to my ticket? anything I Need to know before I call?"
Neg,@SouthwestAir luxury! Only 40 people on this flight. I'm going to get spoiled.
Neg,"@southwestair three flights with three  check in agents, not enough. #missedflight  back to Jet Blue"
Pos,@SouthwestAir when are you releasing your flights for September? Just found out you fly direct lbb to las! So excited! #tripofalifetime
Neg,@SouthwestAir unable to book travel right now on the website or through the app. Help!
Pos,@SouthwestAir Gracias... appreciate that!
Pos,@SouthwestAir was fantastic! That's the best flight service I've ever had.
Neutral,@SouthwestAir would love to win tickets and take my son to Imagine Dragons in Provo Saturday night.  Crossed fingers. #DestinationDragons
Neg,"@SouthwestAir Promotion also said two free round trip flights. Nope, had to pay $200 extra for chi to Vegas. Bait&amp;switch."
Neg,"@SouthwestAir so for an extra luggage, it cost $75????"
Neg,@SouthwestAir turned my non-stop flight between Laguardia/dal into a 1 stop in STL. WTH? I'm thinking some sorta comp is in order? REALLY?
Pos,"@SouthwestAir Flying with you in about 2 weeks, bringing blankets bc it's freezing!😜"
Neg,@SouthwestAir last 5 flights have all consistently ran behind schedule what's up with that ??
Neutral,@SouthwestAir how about some sweet promo code to help me visit my family!!!.... Please!!!... Lol
Neg,"=@SouthwestAir my sinuses had to contend with two painful landings Rather than one, and we missed a preregistration window. beyond frustrated"
Neg,"@SouthwestAir Why do airlines change ticket prices in the middle of the day
#annoyed"
Neg,@SouthwestAir #delayed again! You're killing me Late Flightly!
Pos,=@SouthwestAir love imagine Dragons  So much I EOULD die if I got tickets
Neutral,@SouthwestAir I WANNAA GO TO THE VEGAS SHOW SO BAD ID DOO ANYTHING #DestinationDragons
Pos,"@SouthwestAir I love imagine dragons o flipping much, pls #DestinationDragons"
Pos,@SouthwestAir I would love to go to the Atlanta show ♥️
Pos,@SouthwestAir I WOULD DO ANYTHING FOR tickets to the VEGAS... ANYTHING. I love imagine dragons so much!!
Neg,=@SouthwestAir another delay. wow
Neg,@SouthwestAir I don't want to be too whiny. We accommodated several passengers whose earlier flight was Cancelled Flightled. Our flight was very long.
Pos,@SouthwestAir this would be an awesome experience #DestinationDragons
Pos,@SouthwestAir Hi! I ❤️ your company and fly all the time. I was wondering if you could please share this link &amp; read! http://t.co/lO6LghPcdU
Neutral,@SouthwestAir Yes! How about #DestinationDragons in San Diego?!?
Neg,@SouthwestAir I can't begin to tell you how slow my plane's wifi is. I can't even pull up an email.  What am i paying $8 for??
Neutral,@SouthwestAir do we get to pick which @Imaginedragons show? #DestinationDragons
Neg,@SouthwestAir BETSY is the BESTY! Gettin' stuck at #LAS might not be bad for most..but I want home! #homewardbound #betsy #besty #thankyou
Neg,"@SouthwestAir We should be landing at RIC right now, but haven't even left ATL. Should have picked Delta maybe?"
Neg,@SouthwestAir I love ya but your bringin me down. An hour Late Flight leaving and now we've been sitting in the runway for 20 min 😥 #fail
Neg,"@SouthwestAir I have never been mor e disappointed in a company, charging $8 to use your wifi which only works for about 8 apps parhetic"
Neg,@SouthwestAir  Just picked up my bag at SEATAC all the clothes are soaking wet... #bagawim http://t.co/nGxAl9OmL6
Pos,@SouthwestAir would be cool if the best airlines company hooked me up with @Imaginedragons tickets for Vegas ;)
Pos,"@SouthwestAir appreciate the reply, hopefully those LAX agents get the memo. Cheers!"
Neutral,@SouthwestAir Can you help me out with tickets to the Vegas event? I would be so stoked!
Neutral,"@SouthwestAir I notice that there are separate buttons for ""guitar"" and actual ""music"" in this pic. Some bands should take note of this."
Neutral,@SouthwestAir give me tickets to atlanta! I would do anything!  Anything 😆
Neg,=@SouthwestAir offering US absolutely nothing for our troubles either. Blames the @TSA
Neg,@SouthwestAir link doesn't work
Neutral,@SouthwestAir Just realized my Luv Voucher expired today. :( Any chance of getting some luv with an extension? Please? #VeryLoyalCustomer
Neg,"@SouthwestAir it'd be nice if I could get an answer, even a simple ""no"" would do; I just want to know. :)"
Neg,@southwestair after 4 hours of delays you did make a nice offer for rescheduling me the next day... but...
Pos,@SouthwestAir a nice trip back home after a looong vaca 😊🌴 http://t.co/9TRvfnCedL
Neg,@SouthwestAir Paid for in flight wifi from Austin to San Diego - wasn't useable. :/ Possible to get a refund? Conf #8X7XVM
Pos,@SouthwestAir It was the usually excellent SWA flight!
Neg,@SouthwestAir you know I ❤️you but trying my patience - had easier cheaper ways from TPA to PDX but stuck w u. Turned my 3 hrs in MCI to 6
Neg,@SouthwestAir I figured the streaming wouldn't work per the TOS but just the @NASCAR site is taking longer than 5 minutes to load
Neg,"@SouthwestAir now we have to wait, and wait to get it straight. I fly you for personal and business. But now, not so sure. #BeBetter"
Neg,=@SouthwestAir because your Gate attendant Let someone board whose boarding pass kept reading invalid. this messed up the passenger log.
Neg,@SouthwestAir Your #Android Wi-Fi experience is terrible! $8 is a ripoff! I can't get to @NASCAR or MRN for @DISupdates #BudweiserDuels
Neg,"@SouthwestAir Dear SWA, I fly you a lot.   Most of the time, amazing. Today: unacceptable.I am sitting here in Midway delayed 20 min...."
Neg,"@SouthwestAir, what do you know? Finally lined up like cattle to board my SW flight (after original departure time) #badcustomerservice"
Neutral,=@SouthwestAir seems like you could make more money by opening up seats on a more desirable flight.
Pos,@SouthwestAir Jason (108639) at Gate #3 in SAN made my afternoon!!! #southwestairlines #stellarservice #thanks!
Pos,@SouthwestAir thanks for adding straight flights from Columbus to Oakland!
Pos,@SouthwestAir  I look forward to those direct flights to California to see my family more often. Thank you @MichaelBColeman #byebyeusairline
Neg,@SouthwestAir where is the great customer service I have come to know/expect; you LUV dropped by EB check in and no help in sight!
Neg,@SouthwestAir why can't you help me after you made mistake and dropped my early bird check in on your end?  Where is the LUV?
Neutral,=@SouthwestAir I have a roundtrip ticket now and I Need to change one leg of the trip (to a nearby airport) - not possible via website?
Neg,=@SouthwestAir please do something about the speed of your wifi connections on your planes.  it Might as Well be non-existent.
Pos,@SouthwestAir Your crew on 4028 tonight was outstanding. God bless them and the medically trained passengers on board.
Neg,=@SouthwestAir weather seriously cannot even be the only excuse at this point because it was awful service in the summer too. over it.
Neg,@SouthwestAir is seriously THE WORST. I don't remember the last time I or someone I knew had a flight that wasn't delayed / Cancelled Flightled / etc!
Neutral,@SouthwestAir Is there any way to get entry to the Las Vegas event to see @Imaginedragons perform? #DestinationDragons
Pos,@SouthwestAir...give the crew of SWA 4007 a high five from this AV-8B guy for its nice XW landing into @bostonlogan. Nicely done!
Neg,@SouthwestAir why do you charge so much moving from a full flight to an earlier flight with seats available?  doesn't make sense to me.
Neg,=@SouthwestAir and now no wifi??? come on.
Neg,@SouthwestAir on brd now.frustrated we go 2 #BUF not #ROC.if tld flt was gng 2b held earlier would not be a mess.cng bk unable due to overbk
Pos,"@SouthwestAir have to be honest, didn't expect a fast response, thank you!  Off to #Chiberia we go!"
Pos,@SouthwestAir Making Miracles again! The customer service department gave me by far one of the friendliest phone calls ever. #wheelsup
Pos,@SouthwestAir Already signed up!  Thanks!  Looking forward to trying the Southwest experience.
Neg,"@SouthwestAir, on #unscheduled aircraft change, please have a better system in place, not worth the paid upgrade. #REFUND"
Neutral,=@SouthwestAir good to know. perhaps it was execution then.
Neg,@SouthwestAir love how you hold flight 2851 in PHX for Late Flight passengers and make us all over an hour Late Flight. Great job.
Neg,=@SouthwestAir I Tried to return to orig booked flt. told overbooked.Gng to diff dest.Feel like we were switched on purpose bec of overbook.
Pos,"“@SouthwestAir: @AMiltx3 You are forgiven most loved Customer,,,it's as if you never left :) ^LL” that's why you're bae ❤️"
Neg,@SouthwestAir do we have a time estimate for our luggage? we'll be sure to fill out your survey!!
Pos,"@SouthwestAir you only hear about the bad things. Flying the last to weekends, the flights and crews were awesome. Thank you. 👍👍"
Pos,"=@SouthwestAir Sorry to spam, it would just be So awesome to see @Imaginedragons in Vegas. your help would be absolutely amazing."
Neutral,=@SouthwestAir DM sent.
Neutral,@SouthwestAir can you please DM me? I have a question for you :)
Neutral,=@SouthwestAir done.0
Neg,@SouthwestAir lets chat about flights to and from BWI and the Carolina area... Can a girl get break? I've had to resort to USAir 😖 2 a day?!
Neutral,=@SouthwestAir sent
Neg,"@SouthwestAir, remember me? Wouldn't let me on 3:05pm flight (seats available). Now my 7:40 flight is delayed. Worst airline. #badservice"
Pos,=@SouthwestAir @MichaelBColeman - Thanks for making new direct flight to San francisco.
Pos,@SouthwestAir the crew of 4649 has been great to us today. Traveling from Ft. Lauderdale to Louisville with 2 kids 7 and under. Thanks!✈️✈️
Neutral,=@SouthwestAir will you please work out a contract with @triflight to offer service there..
Neutral,@SouthwestAir please reply to my DM ♥️
Neutral,@SouthwestAir you're going to compensate us for the two plane changes in Atlanta right?
Neg,=@SouthwestAir next up: enforcing your boarding procedure.
Neg,=@SouthwestAir Roger wilco.
Neutral,=@SouthwestAir how do I enter passport information on an existing reservation before check in?
Neutral,@SouthwestAir Any way you can help with entry to Vegas event? My Boyfriend &amp; I have been @Imaginedragons fans since 2009. They are awesome!
Pos,"@SouthwestAir nvm, gate said they're holding connections. Thanks for quick response!"
Neutral,@SouthwestAir to the rescue. Sundown in Chicago. Next stop San Antonio! http://t.co/rQBpmwETtq
Neg,"@SouthwestAir yall say flt 4200 is on time, yet we haven't boarded for a 3:35 departure b/c we are waiting on a new crew. Why the subterfuge"
Neg,@SouthwestAir Did yall get rid of the Austin to Cabo flights all together? There's zero non-stop in Aug and Sept
Pos,@SouthwestAir looking forward to the beats music available on my flight today. That's pretty cool.
Pos,@SouthwestAir has some of the best airfare prices! Gotta LUV them :)
Neg,"@SouthwestAir my Flt was delayed, scheduled to miss my connection, can I get some help? 8HH4P2"
Pos,"=@SouthwestAir Thank you, will do"
Neg,"@SouthwestAir I didn't say anything about patience, I said this is probably the last time I fly Southwest. I suggest others do the same."
Neg,@SouthwestAir flight # 317
Neutral,@SouthwestAir iPhone App Adds Passbook Support #Airlines #Travel http://t.co/lJzDTHD9Bv
Neutral,@SouthwestAir do you have any tickets to the Atlanta show? I would love to go with my sister ♥️🙏
Neutral,"“@SouthwestAir: @pancho_joe No, no, you must've heard us wrong. Sweet mixtape,though"" 4 the record,I didn't leave the 80's, the 80's left me"
Pos,@SouthwestAir :( Thanks for the opportunity...
Neg,@SouthwestAir don't ever tweet me again
Neg,"@SouthwestAir Problem is, I wasn't issued a position until today at the gate. And no option to upgrade. Not good when you're 6'4."
Neg,=@SouthwestAir Might be the Worst airline ever
Pos,"@SouthwestAir truly the best in #customerservice.  If something goes wrong, no matter how big or small the issue was, they fix it. Thank you"
Pos,=@SouthwestAir you are the easiest airline to deal WITH.. I LOVEEEE you So much
Neg,@SouthwestAir My 11AM was canned. I empathize. But I think your Team has lost the right to be capitalized. It's a lowercase team day.
Pos,@SouthwestAir thank you!
Neutral,=@SouthwestAir yes please
Pos,"@SouthwestAir ok, gotcha! ✈️😃👍"
Neg,@SouthwestAir Oops...no functioning bathrooms on a fairly full flight?  Hope everyone on 702 from New York can hold it.  Me included.
Pos,"@SouthwestAir I'm excited too, but perhaps you could scale your excitement back by a few weeks..."
Neutral,@SouthwestAir @Imaginedragons please help me and my best friend get tickets to #DestinationDragons we have so much to thank them for....
Neutral,@SouthwestAir is there any way me &amp; my best friend could get tickets to #DestinationDragons ? they mean everything in the world to us.
Neutral,=@SouthwestAir @livvyports16 and I became Best friends Bcuz of @Imaginedragons is there Any other way?
Pos,@SouthwestAir me &amp; @sammi_jon3s are best friends because of @Imaginedragons. Any chance we could get tickets to #DestinationDragons ?
Pos,@SouthwestAir thank you! ❤️❤️❤️ you guys!
Neg,"@SouthwestAir my trip is a month away...why do you consider it ""around the corner""? Is that a setting I can change?"
Neutral,"@SouthwestAir CEO Gary Kelly, ""You all are absolutely my heroes!"" #SouthwestRally #BWI #bestemployees #swaculture http://t.co/JTxyHQHfJJ"
Neutral,"@southwestair *any site*?   gmail, facebook, etc."
Pos,"@SouthwestAir CEO Gary Kelly, ""We are America's most loved and most flown airline!"" #SouthwestRally #BWI #bestemployees #swaculture #swapic"
Neg,@SouthwestAir I tried again with your in-flight wifi #fail
Neg,=@SouthwestAir flight Booking Problems all my Late flight summer travel!Did the AUS-CUN direct flight disappear?
Pos,=@SouthwestAir @DreSparkles Thank you!I FINALLY made it to my destination
Pos,@SouthwestAir Luvin me some flights today!! Don't change!!  And please add Paypal as payment option!!!
Neutral,@SouthwestAir Pres/CEO Gary Kelly at #TheRoFo addressing 2000 of his BWI based employees. @cbsbaltimore http://t.co/OI32uq2tTZ
Neg,@SouthwestAir you're killing me!! always #delayed from #SanDiego to #SF!! #ugh
Neutral,@SouthwestAir when can I start Flight Booking Problems for next years super bowl time? 😩#help
Neutral,@SouthwestAir will you ever have a nonstop from #SJC to #BNA?? We'll take #SFO or #OAK too! Pleaseeeeee thank you!
Neg,@SouthwestAir almost bumped me off my flight to HRL when I was 20 minutes early then your staff was rude when I asked what was the problem?
Neg,"@SouthwestAir experiencing the worst customer service ever currently. Waited for CS rep, then put ""on hold"" but actually was hung up on."
Pos,@SouthwestAir makes flying for @UNO_Baseball fun! Flight crew just led the plane in singing happy birthday to one of our guys! #LuvInTheAir
Neutral,=@SouthwestAir Thank you. please follow and I will send.
Pos,=@SouthwestAir I just received your birthday card.  it was amazing and made me smile with joy.  Nice videos.  Thanks.
Pos,Thanks @SouthwestAir ! #heartlanta
Neutral,"@SouthwestAir any idea if there will be any ""spring sales"" soon for travel from Late Flight August to early September? Going from PA to LAX."
Pos,"@SouthwestAir thanks for the b day concert I watched them all (and noticed the fist bump/high five at the end of the ""rock"" version)"
Neg,@SouthwestAir why doesn't your terminal B in LGA have pre-check? Makes me want to never fly your airline
Neutral,@SouthwestAir just announced non-stop flights to Dallas from Columbus. Well next time @iGotMonte best you'll have less time airport hopin 😂😂
Pos,@SouthwestAir My boyfriend and I have LOVED @Imaginedragons since 2009 &amp; it would be so awesome to go to Vegas event. Any way you can help?
Neg,=@SouthwestAir reviewing your oversize policy. Hardcase golfbags are free if under weight. how do we add guitars and instruments to the list?
Neg,"@SouthwestAir @saianel You could have just said ""We don't know"""
Neg,@SouthwestAir Why can't I find a cheap flight from DC to St Louis? The prices went up like crazy for April weekends!
Neg,@SouthwestAir can't DM you without you following me...
Neutral,"“@SouthwestAir: #IfThe80sNeverStopped, we'd still be rocking out to this chart-topping hit"". What?  The 80's are over?"
Neutral,@SouthwestAir 4467 and 152 on 2/25 and 503 and 25 on 2/26th.
Neutral,@SouthwestAir Do y'all know when the new routes from HOU to Aruba &amp; Puerto Vallarta will be available?
Neg,"@SouthwestAir PWM direct to Orlando on Saturdays, why is this only happening in March? I thought it was going to be a permanent thing. :("
Neg,=@SouthwestAir yes I can. but you guys should get your act together.
Neg,@SouthwestAir Unable to check in my flight. It says my itinerary is ineligible for checkin online. Go to counter. Very inconvenient!!!
Neutral,@SouthwestAir wow! Some things are better forgotten!
Pos,=@SouthwestAir Thank you. great tool
Pos,@SouthwestAir you should know the crew today on flight #1071 AUS to PDX was awesome! #SWA
Neg,"@SouthwestAir thanks a lot for sending a ""special deal"" with @Budget. Getting screwed is the best when on vacation #sarcasm get new partners"
Neg,=@SouthwestAir for your loyal a-list customers it should be easier to get help and bring resolution to issues with your rewards program.
Neg,@SouthwestAir no one has answers...no one can help. There is always a different story to why my and my fiancee' can't be helped.
Neutral,"@SouthwestAir Don't worry, you will! :-)"
Neg,@SouthwestAir Yes. Please train your customer service agents with correct protocol.. I should not be receiving different 411 evrytime I call
Neg,@SouthwestAir never got any notification that flight 955 was Cancelled Flighted today. Correct phone # and email on file. Not a happy customer.
Pos,@SouthwestAir I was just sitting here talking at a tech conference about how awesome you guys are and this rolled across. Luv you guys! #LOL
Neutral,@SouthwestAir do you have any flights from NAS-BWI ton March 23?
Neutral,@SouthwestAir for my travel I see bz class and get away are sld out. Anytime is available . How do I know how many anytime are available?
Neutral,@SouthwestAir Thanks I get that. It looks like all BWI-SJD services stops after Aug 7. Is that the case? I cant find one date with flights.
Neutral,=@SouthwestAir can I get some luv with a fallow?
Pos,"@SouthwestAir thanks for your attention, I've been flying southwest for 3 years and haven't had this issue in the past."
Neutral,@SouthwestAir do you have a pair of tickets to the @Imaginedragons show in Atlanta?! I'd love to go! #DestinationDragons
Neg,@SouthwestAir suggestion- shades on the windows @KCIAirport so travelers won't have to watch ur luggage handlers throwing their bags around
Neutral,@SouthwestAir please help me get tickets to the @Imaginedragons club show in Atlanta?! #DestinationDragons
Neutral,@SouthwestAir Do you perhaps have a pair to the Atlanta show? #prettyplease
Neg,"@SouthwestAir your A-list program is a complete JOKE! Your company does not value loyal customers.Time to look for another ""go-to"" airliner"
Neg,"@SouthwestAir What's with the pricing cache?! About to book a flight, refreshed the page, &amp; the price jumped from $73 to $159. Ridiculous. 😑"
Neutral,@SouthwestAir @Imaginedragons #DestinationDragons Any tix to spare? I wanna go see the show on Friday in LA with my friend @HayleyMad!
Neg,@SouthwestAir A-List Pref credit card holder called exclusive # and hung up after on hold for 14 min. What gives???
Pos,@SouthwestAir #DestinationDragons @Imaginedragons I'm a HUGE FAN! I would love tix to your show!
Neutral,@SouthwestAir following!! My bad.
Neg,@SouthwestAir Is your BWI-SJD service seasonal? Wasn't part of extension. Called intl desk. They didn't know. Want to fly in Sept on Sat.
Pos,@SouthwestAir Scott is the best!!! Thank yo from the bottom of my heart💕#DestinationDragons with friends in LA @HayleyMad see u Friday
Neutral,@SouthwestAir why must the 4:45pm nonstop BOS-BNA flight stop running after August 7???
Neutral,"@SouthwestAir I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn"
Pos,@SouthwestAir now flying non stop CMH-OAK has me daydreaming about a trip to the bay...especially in this weather. #OhioProbz
Neg,@SouthwestAir  3 flights yesterday; no treats but nuts and pretzels. Also no origami in the magazine. New policies? #OldPoliciesWayBetter
Neg,@SouthwestAir is awful. They have lost my bag and aren't providing any info. This is day 3 and nothing. #WORSTAIRLINEEVER
Neg,"@SouthwestAir if this flight is Cancelled Flighted or delayed any further I expect full compensation for my park ticket, hotel &amp; flight.."
Pos,=@SouthwestAir yeehaw. you found US another plane.  thx for listening to me vent.
Neg,=@SouthwestAir there is a good chance myself NOR anyone else in this airport will ever be flight Booking Problems southwest again..
Neg,@SouthwestAir and YOUR costumer service representative lied to me and ensured me the plane would be leaving by 330.. It's scheduled for 455
Neg,@SouthwestAir not to mention I now have to sit in the airport for 4 hours. You've ruined my trip. I am not happy and want compensation.
Neg,@SouthwestAir you need to get your act together. You new this morning at 830 our plane was malfunctioning. Yet I've been delayed 3 times ..
Neg,"=@SouthwestAir @BrittanyOBX11, keeping families Apart w/ your quirky, archaic policies. Any other airline accommodates in this situation."
Neg,=@SouthwestAir report was filed but would like to support some active searching.  Feels pretty passive now.  info on computer is precious.
Neg,=@SouthwestAir surprise surprise more delays. seems to be the norm.  broken down equipment.
Pos,@SouthwestAir This is unbelievable... Thank you so much! #DestinationDragons
Pos,@SouthwestAir AMAZING c/s today by SW thank you SO very much. This is the reason we fly you #southwest
Pos,@SouthwestAir is the best airline out there no one is better than them #OneLove #Southwest #bestairline
Pos,@SouthwestAir great cabin and flight crew this morning on #578. A great smile and happy staff are signs of a happy company. Thanks.
Pos,@SouthwestAir thank you for always going above and beyond with your customer service!!!!!! #favoriteairline #luvforSW #southwestAir
Neutral,=@SouthwestAir yes can do
Neg,@SouthwestAir Why doesn't mean TSA PreCheck show up on my mobile boarding pass? My KTN is linked to my account.
Pos,"@SouthwestAir great news for @PortColumbusCMH today. Finally, Columbus' top unserved market will have flights."
Neg,@SouthwestAir no flights to HRL :( is this a limited route?
Pos,"@SouthwestAir is really stepping up their ""service""🐩 http://t.co/VQTyza6Mzu"
Neg,@southwestair this inflight WIFI is the absolute worst. I'd be willing to have paid double for dialup speeds...  #Flight7
Neutral,@SouthwestAir are there any flights from MSP to HRL in March? I'm looking at 3/19-3/23
Neg,=@SouthwestAir yes I know that. also noticed you offer a list boarding After  A60. So your Programs are too popular.
Neg,@SouthwestAir I pay for a service to be delivered. Whether or not it is your fault shouldn't there be some sort of compensation?
Neg,@SouthwestAir A little surprised my Early Bird got me B15 from DEN to KC just now. Worst I've had. What's up?
Pos,"@SouthwestAir Again, please accept my apologies for my lame, childish tweet. You didn't deserve that, &amp; I remain a LOYAL SW customer!"
Pos,"@SouthwestAir I owe you an apology. My tweet was out of frustration, not constructive criticism. I'm a SW fan &amp; LOVE your service!"
